timestamp,volume
1580428800,5009.62230695
1580515200,1669.00246242
1580601600,3015.79158859
1580688000,4758.13350441
1580774400,4867.22545881
1580860800,8063.96793828
1580947200,7554.48867469
1581033600,4013.49096731
1581120000,3268.73554695
1581206400,4830.33787739
1581292800,7560.66789084
1581379200,8127.59636283
1581465600,6553.40942709
1581552000,9347.45128374
1581638400,6190.37749036
1581724800,5762.30634481
1581811200,4133.47675014
1581897600,5913.20492551
1581984000,6754.35394103
1582070400,9936.8206814
1582156800,6608.4910792
1582243200,4271.47074293
1582329600,2096.56353593
1582416000,3329.22433648
1582502400,5877.00770771
1582588800,6280.00295543
1582675200,11564.19794381
1582761600,9273.9036636
1582848000,6546.98122765
1582934400,2338.06785643
1583020800,4156.57173933
1583107200,6186.86088929
1583193600,4629.97228611
1583280000,3353.2325223
1583366400,6448.68567336
1583452800,4136.42339429
1583539200,2805.5915714
1583625600,9068.89040196
1583712000,12177.39425093
1583798400,8274.9537573
1583884800,7289.61145281
1583971200,58513.38918903
1584057600,54419.64133553
1584144000,15370.8681496
1584230400,16589.30386378
1584316800,34905.46359769
1584403200,17517.84242049
1584489600,22559.23112903
1584576000,24783.73487365
1584662400,30082.50248252
1584748800,11796.72656887
1584835200,10813.38456907
1584921600,19053.80456405
1585008000,19719.09402414
1585094400,16675.73512097
1585180800,7393.70723365
1585267200,10816.28556504
1585353600,11613.49398164
1585440000,9298.9390511
1585526400,14974.444163
1585612800,6342.29832651
1585699200,11319.14793815
1585785600,17212.82067331
1585872000,10570.10640235
1585958400,6018.51563233
1586044800,3981.97692417
1586131200,13683.03789416
1586217600,11669.01426524
1586304000,8720.21050049
1586390400,8324.9217727
1586476800,10727.86685616
1586563200,3326.67476213
1586649600,7264.51928043
1586736000,10837.57453223
1586822400,7275.68657382
1586908800,8109.73234254
1586995200,15726.69637377
1587081600,8539.61835086
1587168000,5102.50261952
1587254400,4662.19209244
1587340800,11365.00931766
1587427200,5570.95619043
1587513600,6273.40631495
1587600000,14779.54814354
1587686400,7357.10670681
1587772800,3800.82773036
1587859200,5247.54081807
1587945600,6878.02253788
1588032000,7248.9559695
1588118400,26396.09715679
1588204800,24057.73933525
1588291200,11379.68574201
1588377600,5524.26706572
1588464000,9218.274909
1588550400,10018.97499887
1588636800,9592.13446226
1588723200,15110.94181329
1588809600,25012.90031203
1588896000,19203.48379461
1588982400,11278.63371513
1589068800,31639.42874341
1589155200,34465.18657226
1589241600,14010.2612055
1589328000,12762.85161682
1589414400,19936.18545561
1589500800,17324.14460144
1589587200,6170.09609719
1589673600,9515.79358021
1589760000,12362.32763823
1589846400,12149.68534917
1589932800,12351.42817701
1590019200,16879.82890788
1590105600,7261.28419694
1590192000,3477.27850858
1590278400,8855.47763284
1590364800,8919.92378955
1590451200,5923.00523696
1590537600,6867.67101935
1590624000,11523.40889483
1590710400,7226.77389995
1590796800,4793.80371666
